V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
t7	-3.753	-6.517	-5.605	-4.942	-9.22	-10.095	-3.083	-10.533	-3.48	-9.361	-15.213	-12.625	-12.048	-9.267	-15.39	-5.751	-10.006	-13.863	-9.645	-5.385	-7.079	-9.376	-7.522	-5.678	-7.332	-7.562	-10.804	-7.204	-9.782	-1.918	-7.63	-9.953	-5.612	-5.699	-7.085	-10.691	-12.611	-4.643	-7.939	-12.213	-2.958	-2.489	-5.246	-4.461	-10.693	-2.81	-7.228	-5.745	-9.814	-7.448	-6.602	-6.002	-6.708	-4.748	-12.703	-5.284	-6.084	-10.094	-11.49	-5.947	-4.833	-10.481	-6.952	-10.314	-4.507	-4.672	-8.368	-6.835	-6.145	-10.357	-13.078	-7.353	-12.297	-14.284	-10.343	-2.962	-5.359	-6.43	-8.982	-6.962	-4.09	-7.249	-8.531	-5.718	-7.674	-8.615	-5.274	-4.919	-6.955	-5.725	-6.987	-7.392	-8.859	-7.398	-3.435	-1.289	-3.757	-9.182	-5.953	-9.332
t39	-7.026	-5.469	-8.19	-11.422	-6.755	-11.655	-7.692	-8.913	-5.006	-5.604	-8.938	-10.864	-11.177	-11.114	-10.359	-7.684	-11.288	-10.147	-5.776	-6.393	-7.693	-7.747	-2.133	-9.049	-1.045	-8.526	-6.423	-13.133	-7.755	-3.66	-7.176	-8.729	-7.65	-6.809	-10.33	-8.268	-5.712	-11.605	-8.893	-10.072	-10.105	-6.289	-6.49	-5.557	-7.226	-5.749	-8.87	-9.251	-8.15	-10.93	-4.585	-2.06	-6.615	-7.262	-10.388	-10.471	-8.362	-6.74	-12.043	-12.683	-6.018	-4.402	-10.403	-7.467	-5.775	-2.142	-4.766	-10.271	-6.11	-3.726	-6.241	-10.421	-11.16	-9.043	-5.053	-10.215	-2.853	-8.596	-4.116	-7.685	-5.416	-7.269	-4.897	-8.823	-4.556	-12.627	-5.97	-10.238	-10.893	-5.684	-5.079	-6.647	-4.024	-6.525	-9.733	-8.561	-6.661	-5.335	-6.074	-10.437
t14	-6.029	-8.357	-8.013	-8.51	-6.444	-5.601	-6.216	-7.888	-9.418	-13.705	-7.8	-4.431	-6.668	-3.31	-12.35	-10.81	-11.992	-9.353	-9.495	-9.322	-5.655	-11.885	-4.398	-7.868	-6.275	-10.773	-9.384	-7.623	-5.418	-8.042	-9.689	-11.593	-13.122	-9.794	-9.948	-3.768	-10.411	-7.473	-11.456	-6.485	-5.992	-11.677	-11.676	-8.473	-5.532	-3.024	-8.262	-9.676	-7.953	-15.229	-9.775	-16.411	-3.061	-8.706	-9.408	-9.421	-10.054	-8.892	-12.551	-4.823	-6.879	-12.353	-9.762	-5.042	-4.184	-9.44	-11.747	-10.779	-5.594	-8.855	-11.627	-12.344	-0.573	-6.24	-8.072	-9.493	-13.326	-5.724	-5.686	-10.894	-4.038	-4.18	-4.802	-7.315	-2.634	-11.748	-12.884	-7.847	-12.142	-10.682	-10.714	-14.91	-10.366	-6.4	-8.021	-14.001	-9.079	-5.206	-2.889	-6.647
t2	-8.586	-9.394	-11.508	-8.492	-6.373	-8.345	-7.425	-4.878	-10.99	-14.206	-13.358	-8.472	-6.483	-9.347	-10.128	-8.666	-7.962	-13.595	-11.566	-11.874	-7.198	-17.332	-7.729	-11.423	-0.818	-7.177	-16.265	-7.707	-2.992	-5.606	-6.484	-10.396	-14.596	-7.857	-10.018	-4.832	-6.434	-3.571	-9.607	-10.432	-10.012	-8.814	-15.304	-6.062	-7.517	-9.007	-10.478	-8.564	-9.579	-14.028	-6.399	-15.489	-7.455	-8.135	-2.151	-5.85	-1.238	-9.344	-7.933	-12.88	-7.899	-10.665	-10.792	-14.475	-7.417	-12.321	-14.841	-13.442	-5.938	-12.324	-11.525	-9.227	-8.719	-14.12	-10.956	-13.082	-11.042	-8.48	-7.402	-10.843	-5.808	-9.094	-5.52	-9.557	-10.232	-9.65	-4.274	-13.299	-11.9	-12.307	-7.293	-11.488	-9.72	-13.345	-12.2	-5.198	-6.719	-10.025	-9.593	-9.772
t60	-5.528	-10.042	-4.082	-3.063	-9.06	-8.465	-7.491	-9.087	-1.293	-10.622	-10.332	-8.101	-6.666	-6.801	-7.591	-8.822	-6.757	-6.179	-6.705	-9.175	-10.336	-8.461	-7.76	-8.784	-7.675	-10.941	-5.614	-6.97	-4.106	-6.456	-12.842	-14.322	-6.047	-11.432	-9.88	-2.76	-8.231	-10.591	-12.692	-8.598	-8.174	-10.099	-5.832	-9.725	-1.534	-9.828	-11.533	-11.079	-11.677	-11.913	-6.991	-8.717	-5.894	-9.365	-8.651	-12.239	-11.384	-4.746	-14.258	-8.379	-9.487	-6.76	-6.95	-4.935	-7.47	-5.438	-6.226	-10.894	-14.031	-5.573	-8.174	-6.411	-13.348	-3.615	-12.918	-10.949	-3.352	-11.898	-7.686	-8.56	-8.171	-9.438	-8.44	-10.506	-10.446	-13.909	-6.809	-2.743	-1.758	-12.198	-8.043	-7.109	-13.532	-8.819	-6.504	-11.426	-9.064	-8.849	-10.381	-7.498
t11	-8.071	-11.264	-10.728	-6.347	-13.494	-7.095	-6.912	-6.046	-3.385	-9.363	-8.154	-10.083	-10.758	-10.4	-4.935	-5.129	-9.009	-9.112	-13.759	-7.328	-6.432	-13.369	-10.708	-7.687	-8.816	-12.361	-11.769	-7.74	-11.658	-14.219	-9.155	-3.707	-6.64	-13.242	-11.737	-10.231	-10.283	-7.6	-8.326	-8.213	-4.553	-10.325	-13.478	-11.45	-0.372	-13.657	-5.246	-8.467	-6.707	-10.123	-12.203	-8.55	-11.764	-13.299	-3.384	-13.972	-7.581	-7.701	-12.979	-11.229	-10.339	-6.54	-9.459	-12.949	-5.321	-8.65	-4.468	-5.484	-7.425	-11.56	-8.532	-12.934	-10.628	-13.586	-2.229	-5.411	-10.782	-15.727	-6.817	-7.76	-8.299	-7.955	-3.957	-8.126	-4.621	-13.03	-10.179	-10.056	-6.916	-10.018	-5.423	-12.756	-8.913	-13.809	-9.559	-9.4	-8.405	-6.887	-9.434	-12.936
t58	-8.116	-5.03	-7.754	-6.167	-12.94	-8.766	-6.542	-7.594	-5.025	-7.714	-8.953	-5.917	-2.076	-6.703	-11.541	-5.968	-11.328	-11.327	-10.989	-8.35	-4.806	-5.167	-8.023	-10.897	-9.4	-2.129	-5.676	-2.909	-11.729	-14.887	-9.878	-3.059	-8.244	-7.137	-9.264	-12.353	-8.375	-10.291	-6.414	-2.969	-11.755	-5.4	-8.918	-9.198	-9.51	-5.05	-11.69	-3.163	-10.217	-7.983	-1.658	-4.81	-9.299	-6.352	-3.711	-5.046	-5.716	-6.137	-9.887	-6.852	-5.612	-5.302	-7.598	-8.408	-6.052	-7.434	-11.494	-4.669	-7.524	-11.017	-8.493	-5.486	-7.851	-5.858	-6.93	-7.691	-11.627	-8.293	-5.243	-9.211	-12.861	-4.44	-10.419	-6.886	-8.271	-6.379	-4.601	-12.997	-4.632	-7.62	-9.895	-8.768	-4.751	-2.692	-7.706	-11.513	-4.324	-2.311	-6.198	-6.739
t41	-12.439	-9.396	-9.312	-5.942	-12.966	-5.673	-10.495	-13.161	-5.335	-8.578	-15.351	-11.765	-7.691	-8.694	-17.369	-10.706	-11.931	-6.4	-10.453	-4.973	-10.723	-9.352	-8.27	-10.513	-8.342	-7.213	-8.238	-8.278	-10.234	-13.371	-11.67	-10.09	-5.517	-9.411	-15.818	-11.365	-10.705	-13.721	-8.957	-8.322	-7.772	-7.076	-6.436	-11.636	-9.691	-12.282	-6.575	-6.708	-9.855	-10.155	-13.386	-12.837	-8.1	-10.709	-12.194	-10.029	-8.525	-7.67	-8.845	-10.028	-12.701	-9.509	-6.597	-11.435	-10.198	-7.041	-10.324	-8.551	-6.82	-15.379	-10.009	-5.052	-10.939	-8.614	-7.223	-9.144	-8.41	-11.474	-11.944	-11.866	-6.22	-8.247	-13.338	-11.973	-8.246	-7.212	-15.627	-5.203	-11.036	-11.512	-11.264	-0.066	-8.022	-5.559	-8.087	-8.526	-10.724	-6.5	-10.436	-5.698
t38	-6.716	-12.564	-10.408	-1.459	-6.799	-5.043	-8.207	-10.171	-11.12	-11.042	-10.9	-9.524	-8.455	-10.646	-7.296	-12.407	-9.002	-11.1	-7.513	-7.808	-12.421	-5.428	-8.016	-7.009	-10.879	-13.281	-10.162	-9.025	-10.962	-12.514	-5.161	-10.914	-10.573	-9.507	-14.136	-6.305	-9.01	-6.266	-10.316	-8.168	-7.085	-6.046	-6.772	-10.894	-6.208	-8.677	-9.727	-11.593	-10.251	-6.354	-5.827	-5.329	-6.34	-8.94	-9.85	-8.404	-8.327	-7.387	-8.615	-6.917	-7.114	-12.872	-11.997	-12.999	-12.187	-9.572	-7.463	-9.13	-0.565	-13.537	-4.723	-10.122	-8.017	-8.679	-10.329	-9.247	-14.042	-11.719	-3.716	-11.384	-4.808	-14.028	-13.734	-9.081	-6.952	-6.456	-12.969	-2.887	-8.211	-12.109	-12.972	-11.895	-5.079	-14.886	-10.864	-9.882	-8.835	-12.196	-3.162	-8.369
t35	-9.691	-6.497	-10.268	-9.59	-7.855	-9.064	-12.397	-8.594	-5.388	-9.397	-12.181	-5.182	-4.952	-13.195	-6.035	-2.245	-8.894	-8.696	-8.711	-8.484	-6.568	-6.258	-10.471	-13.833	-6.381	-12.388	-8.896	-5.488	-11.266	-5.693	-7.944	-8.776	-7.638	-6.638	-8.423	-5.716	-7.282	-16.651	-9.911	-13.666	-11.899	-8.258	-6.564	-6.455	-2.723	-7.597	-7.899	-9.929	-8.619	-10.371	-5.609	-7.429	-7.676	-7.885	-10.208	-10.679	-10.299	-10.026	-12.608	-5.988	-6.205	-10.784	-12.25	-9.606	-5.631	-7.955	-8.813	-3.351	-6.336	-14.158	-7.855	-15.173	-3.415	-12.817	-6.487	-11.496	-11.022	-5.827	-0.388	-11.627	-12.675	-8.101	-12.907	-8.999	-8.657	-7.897	-6.699	-5.802	-6.893	-9.448	-12.355	-13.748	-8.73	-8.283	-14.447	-9.634	-5.546	-13.944	-9.76	-5.476
t59	-6.623	-9.618	-9.895	-2.769	-8.469	-11.732	-10.478	-6.09	-0.918	-9.457	-7.188	-8.475	-10.732	-11.249	-7.45	-5.619	-4.928	-3.456	-11.447	-6.209	-5.461	-10.389	-4.091	-8.071	-10.522	-11.423	-4.474	-4.768	-4.897	-6.127	-8.692	-6.753	-4.116	-11.652	-7.326	-4.02	-12.127	-6.49	-9.982	-4.756	-8.738	-6.306	-8.867	-8.703	-2.286	-9.244	-6.952	-8.601	-14.415	-11.674	-7.882	-7.389	-3.385	-11.151	-7.636	-11.132	-9.026	-10.747	-9.31	-9.971	-11.52	-6.372	-7.44	-8.225	-2.313	-5.704	-9.776	-8.08	-7.528	-10.766	-2.388	-12.33	-6.433	-7.357	-5.428	-7.025	-10.277	-7.727	-9.634	-8.421	-8.615	-4.419	-8.539	-6.288	-5.56	-3.975	-6.769	-11.555	-12.778	-10.673	-9.375	-14.049	-8.507	-8.911	-11.72	-5.417	-9.653	-10.129	-7.279	-11.812
t22	-7.497	-8.57	-6.268	-9.32	-1.362	-6.151	-8.909	-6.401	-4.144	-8.288	-5.3	-5.028	-6.655	-4.499	-9.86	-9.541	-6.679	-8.805	-4.985	-14.766	-8.824	-9.115	-12.28	-8.524	-5.328	-5.623	-7.138	-9.221	-4.465	-2.91	-7.932	-8.396	-5.564	-7.604	-10.54	-5.683	-11.298	-8.518	-5.72	-6.83	-4.932	-7.389	-7.621	-6.645	-3.941	-8.634	-5.636	-11.472	-5.417	-12.86	-9.073	-3.56	-9.375	-4.529	-8.441	-7.683	-1.494	-1.84	-7.674	-12.203	-8.109	-3.919	-8.877	-7.064	-7.48	-12.921	-8.1	-7.7	-4.986	-10.172	-10.795	-9.183	-9.867	-6.33	-8.5	-8.731	-7.676	-13.399	-7.269	-9.235	-5.947	-5.481	-7.298	-11.586	-6.307	-14.081	-5.071	-2.986	-3.324	-7.606	-6.358	-10.971	-9.023	-15.911	-7.768	-11.02	-13.864	-7.015	-8.882	-10.72
t8	-9.028	-8.008	-12.061	-7.145	-15.09	-8.938	-8.957	-6.176	-10.882	-3.215	-9.293	-9.264	-8.699	-8.792	-3.618	-7.741	-9.019	-8.837	-7.176	-3.25	-5.578	-7.195	-8.279	-7.89	-6.78	-11.94	-8.665	-0.958	-4.262	-6.765	-11.181	-11.911	-7.876	-9.988	-5.188	-7.46	-7.306	-9.563	-6.306	-8.071	-7.423	-10.282	-3.453	-4.112	-4.841	-11.994	-7.439	-10.77	-9.623	-17.145	-7.476	-8.615	-11.362	-14.708	-1.939	-9.91	-8.235	-7.578	-6.895	-7.887	-10.172	-10.492	-9.998	-10.152	-5.252	-9.905	-4.383	-12.277	-8.782	-9.947	-11.122	-11.154	-11.506	-7.927	-11.424	-11.636	-11.111	-9.623	-9.114	-10.875	-7.14	-5.146	-6.22	-5.77	-6.244	-14.282	-9.149	-5.469	-13.016	-6.787	-7.965	-14.76	-10.113	-12.082	-3.448	-7.863	-1.617	-7.53	-10.269	-10.386
t12	-7.165	-11.758	-7.266	-10.669	-7.805	-12.714	-10.883	-5.986	-6.464	-9.631	-8.559	-6.678	-7.254	-13.21	-8.673	-9.646	-12.045	-16.289	-13.028	-9.495	-8.053	-8.231	-9.211	-12.005	-9.353	-10.28	-10.994	-6.106	-9.419	-6.421	-4.294	-3.734	-4.12	-9.76	-7.348	-4.873	-11.35	-12.473	-8.886	-12.549	-10.354	-7.867	-8.273	-10.126	-4.981	-8.755	-7.193	-10.942	-9.147	-12.273	-9.141	-10.028	-14.196	-5.816	-4.028	-4.948	-9.235	-9.205	-5.781	-9.542	-8.809	-12.925	-9.317	-11.56	-7.707	-4.419	-8.639	-7.03	-5.856	-6.815	-12.384	-8.214	-0.164	-6.671	-11.209	-5.597	-12.767	-15.766	-9.797	-9.71	-11.635	-6.498	-15.811	-11.241	-6.002	-8.602	-10.508	-9.841	-7.635	-9.456	-7.446	-12.829	-10.322	-9.654	-9.569	-7.993	-11.824	-7.038	-5.232	-7.32
t30	-10.052	-10.905	-13.636	-9.211	-3.559	-11.957	-14.342	-8.51	-10.129	-7.647	-8.058	-9.454	-7.788	-7.576	-10.689	-10.881	-6.647	-12.315	-10.575	-11.101	-13.791	-13.567	-8.562	-12.368	-9.137	-8.351	-12.532	-7.618	-9.677	-9.756	-7.063	-10.087	-11.475	-11.986	-6.481	-9.283	-10.689	-10.449	-9.833	-9.131	-4.64	-7.688	-5.102	-10.664	-3.813	-8.553	-14.038	-6.58	-11.473	-12.267	-7.076	-12.143	-11.249	-15.392	-12.107	-12.943	-9.287	-8.793	-8.195	-10.242	-1.214	-7.621	-11.776	-10.222	-8.718	-2.775	-9.107	-7.191	-3.713	-10.03	-7.261	-6.782	-8.705	-16.432	-14.694	-8.408	-5.913	-13.09	-8.257	-6.364	-14.076	-7.976	-10.283	-4.395	-12.062	-8.513	-9.92	-0.683	-8.854	-12.523	-10.487	-13.037	-15.027	-8.581	-4.574	-13.903	-9.582	-14.84	-6.503	-11.308
t10	-12.479	-6.651	-9.733	-7.928	-6.052	-5.32	-10.744	-4.764	-10.172	-10.511	-8.597	-2.247	-8.068	-13.202	-13.837	-12.37	-13.109	-13.862	-7.181	-7.536	-9.34	-5.503	-7.518	-8.825	-7.969	-9.488	-10.28	-14.342	-6.086	-8.421	-8.65	-11.933	-8.549	-6.265	-6.48	-1.551	-12.17	-8.509	-11.327	-15.818	-6.572	-11.139	-5.425	-9.603	-4.263	-9.727	-13.367	-7.737	-10.389	-8.971	-11.266	-13.767	-7.34	-7.904	-7.883	-13.222	-10.24	-5.652	-6.146	-13.447	-6.774	-7.679	-8.82	-8.527	-11.169	-3.852	-6.36	-7.767	-13.116	-10.876	-6.762	-11.426	-2.377	-9.456	-9.529	-9.16	-7.064	-4.661	-8.117	-6.255	-9.472	-4.785	-11.453	-3.55	-15.161	-7.505	-13.894	-7.631	-9.874	-12.987	-7.547	-13.094	-8.452	-14.224	-5.4	-11.664	-0.805	-9.771	-9.537	-8.03
t43	-6.472	-7.816	-6.052	-8.949	-7.574	-11.959	-6.947	-5.233	-3.87	-9.909	-9.865	-10.578	-1.695	-10.883	-7.687	-9.127	-6.416	-9.496	-9.405	-8.878	-7.16	-12.953	-7.013	-5.836	-6.506	-9.138	-5.086	-5.6	-4.39	-5.209	-11.544	-6	-5.93	-3.138	-2.647	-6.36	-8.632	-6.152	-5.051	-9.024	-2.649	-9.023	-5.227	-10.067	-2.435	-9.718	-7.435	-3.903	-8.228	-9.094	-13.996	-16.464	-7.311	-8.361	-7.275	-6.673	-4.685	-4.146	-10.511	-7.569	-8.118	-5.753	-4.748	-11.285	-4.742	-4.244	-9.416	-4.186	-5.276	-7.776	-8.775	-3.985	-7.97	-8.566	-6.646	-7.082	-8.247	-12.128	-1.68	-8.343	-4.148	-6.647	-3.44	-3.538	-10.563	-4.96	-10.955	-5.851	-4.627	-13.596	-6.937	-11.513	-5.734	-9.337	-5.543	-8.178	-8.816	-3.504	-5.815	-8.058
t3	-12.532	-10.624	-15.175	-12.098	-2.225	-10.451	-12.802	-10.399	-13.168	-11.579	-6.932	-9.32	-6.332	-11.46	-11.54	-9.736	-13.002	-5.118	-8.273	-12.494	-9.217	-10.132	-16.063	-9.2	-9.485	-13.008	-13.049	-11.246	-5.501	-12.059	-9.494	-12.315	-8.287	-4.705	-8.084	-0.389	-8.769	-11.961	-9.532	-18.094	-1.885	-12.22	-13.712	-9.857	-6.802	-7.338	-10.208	-11.068	-12.099	-18.022	-8.787	-12.974	-12.987	-10.34	-7.511	-13.255	-12.405	-3.982	-9.177	-11.517	-7.972	-11.84	-8.241	-17.781	-10.825	-7.684	-13.273	-12.22	-10.873	-8.162	-6.143	-14.479	-4.739	-6.25	-9.664	-13.32	-10.378	-9.52	-7.282	-9.397	-13.409	-9.261	-9.543	-7.112	-7.522	-11.271	-11.371	-11.586	-15.093	-13.975	-10.063	-10.17	-9.751	-7.621	-10.483	-10.753	-10.423	-11.095	-9.081	-12.121
t53	-6.791	-6.978	-13.52	-8.849	-9.711	-15.134	-7.578	-6.938	-9.124	-13.329	-7.646	-16.343	-12.576	-10.062	-9.488	-10.005	-8.566	-8.958	-8.681	-16.595	-9.285	-11.487	-6.355	-5.702	-11.106	-12.306	-8.91	-12.726	-6.806	-8.04	-12.111	-7.679	-3.546	-11.714	-12.262	-10.447	-11.434	-4.674	-11.529	-6.039	-10.748	-12.239	-8.134	-5.194	-7.019	-10.804	-8.313	-8.833	-12.643	-14.251	-5.589	-3.827	-10.042	-11.505	-9.004	-11.238	-10.164	-8.463	-11.315	-10.774	-4.604	-3.981	-9.579	-9.821	-5.494	-7.823	-6.812	-0.731	-8.825	-6.441	-8.062	-5.193	-16.601	-5.513	-8.327	-5.949	-7.174	-7.427	-9.475	-7.719	-14.745	-12.229	-12.516	-11.461	-3.66	-9.886	-5.453	-2.578	-7.381	-7.513	-11.694	-7.731	-11.791	-8.704	-8.788	-7.661	-5.507	-10.213	-1.313	-11.942
t13	-8.022	-7.363	-14.574	-10.526	-11.265	-12.236	-10.844	-14.908	-9.975	-9.168	-11.224	-7.089	-11.602	-12.697	-11.038	-14.88	-13.878	-11.441	-8.881	-9.241	-12.062	-11.849	-11.802	-11.919	-8.734	-13.971	-8.833	-10.231	-11.766	-9.422	-6.744	-6.496	-9.32	-7.957	-10.044	-9.194	-6.866	-12.476	-13.444	-11.479	-8.827	-14.773	-4.467	-11.69	-5.335	-12.822	-9.206	-0.241	-11.338	-15.954	-16.579	-7.518	-7.39	-14.02	-5.965	-11.525	-10.317	-6.61	-12.093	-5.027	-13.743	-7.533	-14.45	-2.48	-11.598	-6.36	-8.347	-13.015	-7.055	-9.419	-12.78	-9.402	-6.631	-13.076	-4.962	-13.571	-12.177	-12.672	-2.536	-10.934	-9.421	-8.753	-12.56	-12.404	-9.978	-11.097	-9.817	-8.904	-9.253	-12.341	-7.724	-6.62	-14.943	-13.218	-16.073	-12.716	-13.379	-10.004	-6.606	-12.542
t34	-3.716	-7.28	-7.605	-7.406	-7.959	-0.474	-3.577	-8.951	-6.905	-10.958	-7.139	-10.152	-10.693	-11.383	-13.118	-5.618	-11.945	-8.195	-4.156	-5.325	-15.871	-14.078	-9.652	-9.474	-10.989	-6.432	-6.552	-11.468	-11.992	-9.018	-3.887	-7.5	-10.935	-7.365	-5.717	-7.109	-10.28	-8.071	-6.107	-4.851	-12.792	-11.165	-8.613	-12.529	-5.416	-6.812	-5.468	-10.6	-9.301	-11.04	-9.244	-5.454	-12.006	-7.39	-2.915	-4.845	-7.86	-4.573	-7.434	-5.541	-3.386	-7.942	-9.953	-8.954	-15.283	-6.531	-7.908	-7.103	-12.174	-2.713	-9.977	-7.438	-6.914	-11.994	-7.26	-10.892	-12.689	-7.343	-2.958	-13.893	-7.61	-10.082	-7.73	-11.97	-10.152	-6.913	-10.474	-7.747	-10.354	-10.823	-12.608	-11.342	-8.579	-10.2	-8.006	-9.475	-8.747	-11.308	-5.899	-13.7
t51	-7.705	-11.101	-12.595	-11.13	-5.739	-13.21	-4.528	-12.109	-11.325	-10.048	-11.216	-11.903	-11.58	-13.609	-6.862	-8.695	-9.042	-17.106	-11.306	-11.554	-14.05	-8.284	-8.659	-5.841	-9.697	-13.321	-11.683	-13.831	-13.589	-9.898	-7.04	-10.077	-4.83	-9.869	-2.772	-7.006	-12.562	-18.134	-8.12	-8.477	-8.727	-11.018	-5.562	-9.566	-7.597	-9.747	-16.992	-16.715	-9.559	-10.126	-3.34	-7.387	-10.523	-10.081	-8.503	-7.581	-18.474	-8.549	-12.366	-7.272	-10.991	-14.314	-8.614	-7.542	-12.499	-10.117	-8.369	-6.757	-14.351	-13.009	-17.343	-11.146	-12.691	-7.741	-6.461	-13.521	-6.159	-9.365	-8.47	-10.868	-9.592	-9.029	-13.343	-11.304	-14.244	-7.915	-11.016	-10.988	-0.155	-13.809	-12.342	-12.487	-7.554	-12.4	-11.333	-7.119	-9.604	-9.367	-9.809	-9.433
t21	-10.436	-10.604	-9.859	-9.583	-5.309	-8.676	-10.505	-10.896	-7.288	-9.344	-14.151	-6.952	-9.288	-9.203	-12.938	-12.528	-9.837	-16.083	-10.104	-8.468	-10.968	-13.699	-13.179	-10.364	-17.163	-13.101	-14.428	-11.133	-8.673	-9.911	-10.474	-11.646	-9.379	-18.746	-12.77	-4.037	-5.457	-7	-7.968	-11.456	-0.052	-10.901	-5.55	-6.867	-5.438	-9.192	-12.096	-11.384	-11.943	-11.179	-8.035	-6.142	-9.781	-11.754	-9.319	-10.137	-7.878	-5.511	-13.579	-11.224	-12.938	-10.035	-11.756	-9.8	-9.334	-11.723	-10.7	-9.153	-18.843	-12.6	-12.95	-11.515	-9.513	-16.434	-10.623	-14.072	-9.781	-8.663	-7.863	-15.997	-8.461	-11.019	-16.139	-12.477	-8.066	-7.564	-14.307	-9.593	-9.796	-9.089	-10.239	-14.148	-10.709	-9.684	-11.213	-11.03	-8.772	-11.379	-11.576	-8.164
t48	-7.737	-10.347	-9.292	-9.619	-9.096	-9.695	-10.52	-5.938	-10.853	-4.978	-14.428	-10.686	-10.766	-7.465	-6.796	-12.541	-7.662	-7.584	-9.606	-3.661	-8.093	-3.715	-6.273	-7.486	-11.614	-9.772	-5.027	-9.655	-6.257	-13.804	-4.167	-6.409	-13.568	-5.49	-7.545	-7.916	-5.291	-13.302	-8.517	-6.85	-5.622	-8.517	-1.858	-4.007	-2.589	-8.144	-3.681	-6.59	-7.46	-2.883	-11.352	-8.11	-4.345	-13.081	-8.134	-14.328	-0.798	-10.312	-10.888	-7.144	-5.139	-3.808	-9.725	-7.171	-8.151	-7.704	-7.608	-7.347	-6.424	-9.186	-5.904	-4.703	-11.913	-6.094	-7.944	-12.296	-6.071	-3.614	-8.048	-10.715	-10.773	-9.674	-15.394	-9.195	-8.86	-8.169	-15.43	-8.216	-5.989	-7.169	-9.158	-9.655	-6.699	-5.541	-10.404	-6.387	-8.005	-11.205	-6.434	-5.091
t19	-3.433	-5.178	-6.536	-7.328	-7.216	-11.273	-9.183	-7.066	-10.673	-8.685	-8.127	-10.028	-10.072	-10.48	-4.798	-9.582	-8.025	-9.962	-6.832	-5.831	-9.501	-2.55	-4.404	-6.207	-3.314	-3.553	-1.496	-8.843	-7.718	-10.592	-9.741	-3.08	-8.2	-6.033	-7.052	-5.755	-8.084	-7.507	-15.453	-12.873	-4.513	-9.22	-3.792	-4.202	-9.231	-5.656	-3.578	-10.189	-11.083	-10.211	-11.922	-8.219	-10.935	-6.741	-6.915	-7.968	-5.607	-10.049	-10.311	-8.604	-12.16	-6.192	-3.607	-10.667	-10.219	-8.44	-5.385	-5.582	-9.365	-7.307	-10.422	-10.021	-3.665	-10.887	-2.55	-5.531	-9.325	-13.452	-10.204	-6.418	-9.41	-4.609	-7.904	-8.989	-10.047	-2.707	-8.218	-1.765	-7.527	-11.26	-5.841	-11.263	-6.459	-7.302	-9.047	-10.498	-12.137	-6.341	-4.03	-11.497
t16	-6.365	-13.477	-9.786	-3.318	-4.778	-8.303	-14.215	-3.941	-6.994	-7.356	-2.81	-3.696	-9.119	-11.333	-7.597	-10.083	-10.409	-10.675	-5.329	-8.187	-4.501	-5.943	-8.839	-10.956	-10.281	-7.327	-3.873	-8.108	-1.1	-12.542	-7.861	-3.155	-3.778	-12.654	-7.737	-1.624	-8.293	-6.226	-12.423	-9.803	-8.342	-6.635	-9.537	-10.039	-8.255	-11.677	-11.701	-10.724	-12.228	-10.783	-5.108	-7.072	-9.74	-8.021	-3.935	-6.329	-9.612	-4.803	-8.757	-6.822	-11.225	-11.392	-8.928	-10.989	-10.765	-6.855	-8.456	-8.984	-8.961	-6.82	-8.389	-11.864	-5.073	-6.33	-2.946	-12.226	-11.101	-6.868	-6.688	-11.126	-5.708	-10.805	-6.257	-6.188	-4.857	-4.333	-9.352	-5.321	-7.009	-9.131	-5.927	-13.934	-6.268	-6.052	-4.694	-10.202	-7.407	-10.473	-3.11	-5.154
t23	-11.041	-7.177	-7.299	-9.113	-9.756	-9.407	-4.221	-12.34	-4.441	-8.987	-7.479	-8.555	-8.487	-4.884	-13.841	-10.572	-10.893	-12.039	-11.508	-8.385	-10.117	-11.523	-9.973	-4.606	-7.856	-5.017	-4.135	-7.65	-2.157	-9.027	-6.9	-4.952	-2.933	-11.506	-3.943	-9.697	-5.719	-7.084	-10.179	-12.13	-11.962	-9.547	-7.254	-9.758	-1.348	-8.137	-7.707	-4.139	-2.931	-11.782	-11.415	-8.972	-13.312	-4.083	-13.063	-7.429	-12.956	-8.347	-4.46	-5.291	-6.985	-9.234	-9.569	-11.879	-11.185	-8.874	-5.857	-10.879	-14.224	-4.108	-7.18	-7.02	-10.231	-5.563	-4.584	-11.862	-3.62	-7.765	-5.245	-3.756	-8.142	-11.319	-9.789	-2.646	-10.304	-9.268	-7.642	-7.696	-8.816	-12.537	-6.741	-9.911	-10.414	-14.144	-2.889	-6.518	-10.487	-7.412	-6.218	-1.982
